,vanilla_name,btw_name,vanilla_path,btw_path,delete,category
0,acacia_door_bottom,decoBlockDoorAcacia_lower,/assets/minecraft/textures/block/acacia_door_bottom.png,/textures/blocks/decoBlockDoorAcacia_lower.png,,block
1,acacia_door_top,decoBlockDoorAcacia_upper,/assets/minecraft/textures/block/acacia_door_top.png,/textures/blocks/decoBlockDoorAcacia_upper.png,,block
2,acacia_leaves,leaves,/assets/minecraft/textures/block/acacia_leaves.png,/textures/blocks/leaves.png,,block
3,acacia_log,decoBlockLogAcacia_side,/assets/minecraft/textures/block/acacia_log.png,/textures/blocks/decoBlockLogAcacia_side.png,,block
4,acacia_log,decoItemBarkAcacia,/assets/minecraft/textures/block/acacia_log.png,/textures/items/decoItemBarkAcacia.png,,block
5,acacia_log_top,decoBlockLogAcacia_top,/assets/minecraft/textures/block/acacia_log_top.png,/textures/blocks/decoBlockLogAcacia_top.png,,block
6,acacia_planks,decoBlockGateAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockGateAcacia.png,,block
7,acacia_planks,decoBlockChairAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockChairAcacia.png,,block
8,acacia_planks,decoBlockPlanksAcacia,/assets/minecraft/textures/block/acacia_planks.png,/textures/blocks/decoBlockPlanksAcacia.png,,block
9,acacia_trapdoor,decoBlockTrapdoorAcacia,/assets/minecraft/textures/block/acacia_trapdoor.png,/textures/blocks/decoBlockTrapdoorAcacia.png,,block
10,activator_rail,activatorRail,/assets/minecraft/textures/block/activator_rail.png,/textures/blocks/activatorRail.png,,block
11,activator_rail_on,activatorRail_powered,/assets/minecraft/textures/block/activator_rail_on.png,/textures/blocks/activatorRail_powered.png,,block
12,allium,decoBlockFlower_7,/assets/minecraft/textures/block/allium.png,/textures/blocks/decoBlockFlower_7.png,,block
13,amethyst_block,decoBlockAmethyst,/assets/minecraft/textures/block/amethyst_block.png,/textures/blocks/decoBlockAmethyst.png,,block
14,amethyst_cluster,decoBlockAmethystShard,/assets/minecraft/textures/block/amethyst_cluster.png,/textures/blocks/decoBlockAmethystShard.png,,block
15,andesite,decoBlockAndesiteColumn,/assets/minecraft/textures/block/andesite.png,/textures/blocks/decoBlockAndesiteColumn.png,,block
16,andesite,decoBlockAndesite,/assets/minecraft/textures/block/andesite.png,/textures/blocks/decoBlockAndesite.png,,block
17,anvil,anvil_base,/assets/minecraft/textures/block/anvil.png,/textures/blocks/anvil_base.png,,block
18,anvil,fcBlockSpikeIron,/assets/minecraft/textures/block/anvil.png,/textures/blocks/fcBlockSpikeIron.png,,block
19,anvil,fcBlockLightningRodOld,/assets/minecraft/textures/block/anvil.png,/textures/blocks/fcBlockLightningRodOld.png,,block
20,anvil_top,anvil_top,/assets/minecraft/textures/block/anvil_top.png,/textures/blocks/anvil_top.png,,block
21,attached_melon_stem,stem_bent,/assets/minecraft/textures/block/attached_melon_stem.png,/textures/blocks/stem_bent.png,,block
22,attached_pumpkin_stem,stem_bent,/assets/minecraft/textures/block/attached_pumpkin_stem.png,/textures/blocks/stem_bent.png,,block
23,azure_bluet,decoBlockFlower_10,/assets/minecraft/textures/block/azure_bluet.png,/textures/blocks/decoBlockFlower_10.png,,block
24,basalt_side,decoBlockBasalt_side,/assets/minecraft/textures/block/basalt_side.png,/textures/blocks/decoBlockBasalt_side.png,,block
25,basalt_top,decoBlockBasalt_top,/assets/minecraft/textures/block/basalt_top.png,/textures/blocks/decoBlockBasalt_top.png,,block
26,bedrock,bedrock,/assets/minecraft/textures/block/bedrock.png,/textures/blocks/bedrock.png,,block
27,beetroots_stage0,carrots_0,/assets/minecraft/textures/block/beetroots_stage0.png,/textures/blocks/carrots_0.png,,block
28,beetroots_stage0,potatoes_0,/assets/minecraft/textures/block/beetroots_stage0.png,/textures/blocks/potatoes_0.png,,block
29,beetroots_stage1,potatoes_1,/assets/minecraft/textures/block/beetroots_stage1.png,/textures/blocks/potatoes_1.png,,block
30,beetroots_stage1,carrots_1,/assets/minecraft/textures/block/beetroots_stage1.png,/textures/blocks/carrots_1.png,,block
31,beetroots_stage2,potatoes_2,/assets/minecraft/textures/block/beetroots_stage2.png,/textures/blocks/potatoes_2.png,,block
32,beetroots_stage2,carrots_2,/assets/minecraft/textures/block/beetroots_stage2.png,/textures/blocks/carrots_2.png,,block
33,birch_door_bottom,decoBlockDoorBirch_lower,/assets/minecraft/textures/block/birch_door_bottom.png,/textures/blocks/decoBlockDoorBirch_lower.png,,block
34,birch_door_top,decoBlockDoorBirch_upper,/assets/minecraft/textures/block/birch_door_top.png,/textures/blocks/decoBlockDoorBirch_upper.png,,block
35,birch_leaves,leaves,/assets/minecraft/textures/block/birch_leaves.png,/textures/blocks/leaves.png,,block
36,birch_log,tree_birch,/assets/minecraft/textures/block/birch_log.png,/textures/blocks/tree_birch.png,,block
37,birch_log_top,decoBlockLogBirch_top,/assets/minecraft/textures/block/birch_log_top.png,/textures/blocks/decoBlockLogBirch_top.png,,block
38,birch_planks,decoBlockChairBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoBlockChairBirch.png,,block
39,birch_planks,wood_birch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/wood_birch.png,,block
40,birch_planks,decoblockGateBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoblockGateBirch.png,,block
41,birch_planks,decoBlockGateBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/decoBlockGateBirch.png,,block
42,birch_planks,fcBlockDecorativeWoodBirch,/assets/minecraft/textures/block/birch_planks.png,/textures/blocks/fcBlockDecorativeWoodBirch.png,,block
43,birch_sapling,sapling_birch,/assets/minecraft/textures/block/birch_sapling.png,/textures/blocks/sapling_birch.png,,block
44,birch_trapdoor,decoBlockTrapdoorBirch,/assets/minecraft/textures/block/birch_trapdoor.png,/textures/blocks/decoBlockTrapdoorBirch.png,,block
45,black_concrete,decoBlockConcreteColumn_black,/assets/minecraft/textures/block/black_concrete.png,/textures/blocks/decoBlockConcreteColumn_black.png,,block
46,black_concrete,decoBlockConcrete_black,/assets/minecraft/textures/block/black_concrete.png,/textures/blocks/decoBlockConcrete_black.png,,block
47,black_concrete_powder,decoBlockConcretePowder_black,/assets/minecraft/textures/block/black_concrete_powder.png,/textures/blocks/decoBlockConcretePowder_black.png,,block
48,black_glazed_terracotta,decoBlockGlazedTerracotta_black_0,/assets/minecraft/textures/block/black_glazed_terracotta.png,/textures/blocks/decoBlockGlazedTerracotta_black_0.png,,block
49,black_stained_glass,decoBlockStainedGlass_black,/assets/minecraft/textures/block/black_stained_glass.png,/textures/blocks/decoBlockStainedGlass_black.png,,block
50,black_terracotta,decoBlockTerracottaStained_black,/assets/minecraft/textures/block/black_terracotta.png,/textures/blocks/decoBlockTerracottaStained_black.png,,block
51,black_wool,decoBlockCarpet_black,/assets/minecraft/textures/block/black_wool.png,/textures/blocks/decoBlockCarpet_black.png,,block
52,black_wool,cloth_15,/assets/minecraft/textures/block/black_wool.png,/textures/blocks/cloth_15.png,,block
53,blackstone_top,decoBlockInfusedStoneColumn,/assets/minecraft/textures/block/blackstone_top.png,/textures/blocks/decoBlockInfusedStoneColumn.png,,block
